StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q3.2_1,Q3.5_1,Q4.2_1,Q4.5_1,Q5.2_1,Q5.5_1,Q6.2_1,Q6.5_1,Q7.2_1,Q7.5_1,Q8.2_1,Q8.5_1,Q9.2_1,Q9.5_1,Q10.2_1,Q10.5_1,Q11.2_1,Q11.5_1,Q12.2_1,Q12.5_1,Q13.2_1,Q13.5_1,Q14.2_1,Q14.5_1,Q15.2_1,Q15.5_1,Q16.2_1,Q16.5_1,Q17.2_1,Q17.5_1,Q18.2_1,Q18.5_1,Q19.1,Q19.2
2024-05-20 23:15:02,2024-05-20 23:16:07,Survey Preview,,100,64,True,2024-05-20 23:16:07,R_32MurC75j7DUEHC,,,,,32.8425,-117.2484,preview,EN,I understand and consent,3.1,6.6,3.6,7.1,3.6,6.4,2.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,Nonbinary,35-44 years old
2024-05-21 12:24:55,2024-05-21 12:25:52,Survey Preview,,100,56,True,2024-05-21 12:25:52,R_1Xqy612CGIvXIvT,,,,,32.8595,-117.2124,preview,EN,I understand and consent,,,,,,,,,4.1,7.2,7.5,3.3,3.1,4.9,2.7,8.3,,,,,,,,,,,,,,,,,Other,18-24 years old
2024-05-21 13:09:29,2024-05-21 13:10:56,Survey Preview,,100,87,True,2024-05-21 13:10:57,R_1R51UFUapf9JzTI,,,,,32.8595,-117.2124,preview,EN,I understand and consent,,,,,,,,,,,,,,,,,3.2,6.2,0,8.3,7.7,2.5,1.5,10,,,,,,,,,Female,18-24 years old
2024-05-21 13:22:24,2024-05-21 13:25:24,Survey Preview,,100,180,True,2024-05-21 13:25:25,R_1KpaSxsw7H5NHax,,,,,32.8595,-117.2124,preview,EN,I understand and consent,2.5,3.1,5.2,6.1,3.5,2.3,1.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,Female,18-24 years old
2024-05-21 13:27:31,2024-05-21 13:29:59,Survey Preview,,100,147,True,2024-05-21 13:29:59,R_3VwMg47J9E8arpn,,,,,32.8509,-117.2722,preview,EN,I understand and consent,,,,,,,,,7,3.7,7.5,5.6,7,2.7,2.5,6.8,,,,,,,,,,,,,,,,,Female,Under 18
2024-05-21 13:40:16,2024-05-21 13:42:51,IP Address,107.77.227.80,100,154,True,2024-05-21 13:42:52,R_3xIvDzXv9PnbqUh,,,,,34.0544,-118.244,anonymous,EN,I understand and consent,8,8,5,5,7,5,6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,Female,18-24 years old
2024-05-21 13:42:06,2024-05-21 13:44:30,IP Address,128.54.181.148,100,144,True,2024-05-21 13:44:31,R_6Ah07HxDoXMlJOV,,,,,32.8509,-117.2722,anonymous,EN,I understand and consent,,,,,,,,,7,7.2,8.5,8.5,5,4.5,8.5,7.5,,,,,,,,,,,,,,,,,Nonbinary,18-24 years old
2024-05-21 13:44:39,2024-05-21 13:47:21,IP Address,104.28.85.108,100,161,True,2024-05-21 13:47:21,R_7lFcZPUMXdb8g9g,,,,,34.0251,-118.1556,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,7.5,3.5,3.5,3.5,7.5,5,4,5,Female,18-24 years old
2024-05-21 13:44:04,2024-05-21 13:48:59,IP Address,76.91.194.60,100,294,True,2024-05-21 13:48:59,R_6HbHQ8mRPiB7Okc,,,,,32.9511,-117.2241,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,4,4,7,7,4,5,4,4,,,,,,,,,Male,18-24 years old
2024-05-21 13:47:35,2024-05-21 13:50:22,IP Address,128.54.183.19,100,166,True,2024-05-21 13:50:22,R_6CK1WnzT8xo76ui,,,,,32.8509,-117.2722,anonymous,EN,I understand and consent,4,4,8,8,5.5,5.3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,Nonbinary,18-24 years old
2024-05-21 13:46:04,2024-05-21 13:50:22,IP Address,45.149.173.225,100,257,True,2024-05-21 13:50:22,R_5l6pHE2BzP79K6k,,,,,34.0544,-118.244,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,6,6,7,7,5,5,9,9,,,,,,,,,Male,18-24 years old
2024-05-21 13:47:39,2024-05-21 13:50:27,IP Address,73.226.63.111,100,168,True,2024-05-21 13:50:28,R_66nJnncu4So3bqU,,,,,39.6999,-74.2633,anonymous,EN,I understand and consent,6.1,6.1,10,10,2.1,2.1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,Female,35-44 years old
2024-05-21 13:48:34,2024-05-21 13:51:00,IP Address,128.54.43.6,100,146,True,2024-05-21 13:51:01,R_6lxTdSgl78aSxGC,,,,,32.9511,-117.2241,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,1.5,3,7,2,Female,18-24 years old
2024-05-21 13:47:11,2024-05-21 13:51:12,IP Address,76.176.146.48,100,240,True,2024-05-21 13:51:12,R_1cnkALPu3WPIaKn,,,,,32.8595,-117.2124,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,6,8,8.5,3.5,3.5,Male,18-24 years old
2024-05-21 13:41:48,2024-05-21 13:53:13,IP Address,108.233.39.187,100,684,True,2024-05-21 13:53:13,R_1kqYKNU1vb9hlCh,,,,,34.0772,-117.4506,anonymous,EN,I understand and consent,,,,,,,,,8.5,8.5,6.3,7.3,4,4.5,6.6,4.8,,,,,,,,,,,,,,,,,Male,18-24 years old
2024-05-21 13:55:05,2024-05-21 13:58:12,IP Address,76.175.194.172,100,186,True,2024-05-21 13:58:12,R_5rp6yOUvIBZANjw,,,,,33.1062,-117.2947,anonymous,EN,I understand and consent,,,,,,,,,8.9,8.3,7.1,7.1,5,4.8,7.7,6.9,,,,,,,,,,,,,,,,,Male,18-24 years old
2024-05-21 14:06:11,2024-05-21 14:08:17,IP Address,131.179.37.137,100,126,True,2024-05-21 14:08:18,R_7VD7Z1gIwTaqpQG,,,,,34.0123,-118.3757,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,8,8,3,1,7,5,9,10,,,,,,,,,Male,18-24 years old
2024-05-21 14:08:02,2024-05-21 14:10:14,IP Address,174.195.136.5,100,131,True,2024-05-21 14:10:14,R_1Gfvil89xAonS2l,,,,,34.0062,-117.4432,anonymous,EN,I understand and consent,,,,,,,,,1.8,1.2,3.2,3.2,2.5,2.5,3.2,4.1,,,,,,,,,,,,,,,,,Nonbinary,18-24 years old
2024-05-21 14:10:02,2024-05-21 14:12:11,IP Address,75.35.212.129,100,128,True,2024-05-21 14:12:12,R_7PANjOkb1uNdgDn,,,,,32.9473,-96.7028,anonymous,EN,I understand and consent,,,,,,,,,9.3,9.5,7.4,7.5,6.2,6.3,7.1,7.5,,,,,,,,,,,,,,,,,Female,25-34 years old
2024-05-21 14:11:07,2024-05-21 14:14:03,IP Address,128.54.132.29,100,175,True,2024-05-21 14:14:03,R_5ItKN0emzg8KzBn,,,,,32.8509,-117.2722,anonymous,EN,I understand and consent,5,5,2,3,5,4.5,4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,Male,18-24 years old
2024-05-21 14:18:27,2024-05-21 14:23:06,IP Address,128.54.219.71,100,279,True,2024-05-21 14:23:07,R_5qdGCIkKDYXbkvn,,,,,32.8509,-117.2722,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,6,5,6,4,Male,18-24 years old
2024-05-21 14:22:41,2024-05-21 14:24:29,IP Address,71.84.156.164,100,108,True,2024-05-21 14:24:30,R_12JrWJnZpEUfuoM,,,,,33.1452,-97.0699,anonymous,EN,I understand and consent,,,,,,,,,5,5,8.5,8.5,5,4.5,8.5,8,,,,,,,,,,,,,,,,,Female,35-44 years old
2024-05-21 14:26:29,2024-05-21 14:28:03,IP Address,137.110.72.136,100,93,True,2024-05-21 14:28:04,R_7VDfysMj9ZRbdjw,,,,,32.8595,-117.2124,anonymous,EN,I understand and consent,8,9.2,10,9.5,8.4,7.9,1.3,10,,,,,,,,,,,,,,,,,,,,,,,,,Female,18-24 years old
2024-05-21 14:27:30,2024-05-21 14:31:15,IP Address,128.54.42.226,100,225,True,2024-05-21 14:31:16,R_7eP49CRHo2aCeel,,,,,32.9164,-117.1393,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,8,7,4,4,8,5.1,0.7,0.7,,,,,,,,,Female,18-24 years old
2024-05-21 14:30:56,2024-05-21 14:34:06,IP Address,104.28.85.232,100,190,True,2024-05-21 14:34:06,R_1kAsbLY3udPH197,,,,,32.7651,-117.1276,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.6,7.8,7.8,2.5,2.5,7,4.5,Male,18-24 years old
2024-05-21 14:45:46,2024-05-21 14:47:46,IP Address,172.56.187.208,100,120,True,2024-05-21 14:47:47,R_57PevCMwaVHyi9b,,,,,33.7697,-117.8906,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,2.5,1.4,4.9,4.8,7.8,8.1,7.7,7.4,,,,,,,,,Female,35-44 years old
2024-05-21 14:52:41,2024-05-21 14:56:33,IP Address,137.110.90.148,100,231,True,2024-05-21 14:56:33,R_3mWr2MURCmUQKTC,,,,,32.8595,-117.2124,anonymous,EN,I understand and consent,4.3,4.3,8.1,8.3,6,6,8,6.5,,,,,,,,,,,,,,,,,,,,,,,,,Male,18-24 years old
2024-05-21 14:51:42,2024-05-21 15:00:01,IP Address,73.151.100.12,100,498,True,2024-05-21 15:00:01,R_52qZ78vHZB6byyO,,,,,38.4063,-121.4287,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,8.5,8.5,10,10,6.1,Prefer not to say,Under 18
2024-05-21 15:13:12,2024-05-21 15:19:48,IP Address,92.57.228.145,100,396,True,2024-05-21 15:19:49,R_8mgUTq6065wtmBH,,,,,42.4725,-2.4281,anonymous,EN,I understand and consent,,,,,,,,,5,5,4.3,4.3,6.3,5.5,4.4,6,,,,,,,,,,,,,,,,,Male,35-44 years old
2024-05-21 15:24:15,2024-05-21 15:29:17,IP Address,174.234.158.215,100,301,True,2024-05-21 15:29:17,R_7imnycoWNpWa2aG,,,,,44.9618,-93.2638,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,9,8.8,2,2,7,6.5,6,5,Female,Under 18
2024-05-21 16:00:57,2024-05-21 16:03:45,IP Address,97.116.29.179,100,168,True,2024-05-21 16:03:46,R_7riSxlnqV133dkR,,,,,44.9764,-93.224,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,9,9,5,7,9,9,4,4.5,Female,45+
2024-05-21 16:05:55,2024-05-21 16:10:19,IP Address,69.196.44.88,100,264,True,2024-05-21 16:10:19,R_6ROP6kmwEFKHzzj,,,,,32.8595,-117.2124,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,7,7,7,7,6,5,5,3,,,,,,,,,Female,18-24 years old
2024-05-21 16:25:20,2024-05-21 16:27:07,IP Address,79.103.244.54,100,106,True,2024-05-21 16:27:07,R_8mWa8aFxCgrUsq7,,,,,40.6439,22.9358,anonymous,EN,I understand and consent,,,,,,,,,8.1,8.3,8.4,8.3,8,8.3,8.3,8.3,,,,,,,,,,,,,,,,,Male,25-34 years old
2024-05-21 16:25:12,2024-05-21 16:28:20,IP Address,98.113.120.17,100,187,True,2024-05-21 16:28:20,R_6Scpy9H5A1OPxCj,,,,,40.8777,-73.908,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,6.8,6.3,8.6,7.5,6,5.5,5.5,5,,,,,,,,,Female,18-24 years old
2024-05-21 16:37:29,2024-05-21 16:46:06,IP Address,172.56.190.251,100,517,True,2024-05-21 16:46:07,R_7rM7zErYF7SVmRG,,,,,33.8358,-117.9063,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,6,3.5,3.5,4,6.5,Female,18-24 years old
2024-05-21 16:57:10,2024-05-21 16:59:50,IP Address,90.39.109.8,100,159,True,2024-05-21 16:59:50,R_2zeYF6sF93GvLyL,,,,,50.2922,2.7804,anonymous,EN,I understand and consent,4.5,4.2,7.5,7.5,7.5,6,5.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,Other,18-24 years old
2024-05-21 16:51:31,2024-05-21 17:02:01,IP Address,205.206.239.80,100,630,True,2024-05-21 17:02:02,R_7tDVDkzCb0Q8hYL,,,,,51.2096,-114.1313,anonymous,EN,I understand and consent,2.3,2.3,4,4,2.5,2,5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,Male,18-24 years old
2024-05-21 17:01:57,2024-05-21 17:05:07,IP Address,82.11.17.218,100,190,True,2024-05-21 17:05:08,R_84gUbd3w84yKz3b,,,,,51.4098,-0.0249,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7.4,7.4,10,8.6,2,3.4,Male,25-34 years old
2024-05-21 17:16:47,2024-05-21 17:25:41,IP Address,128.54.45.250,100,533,True,2024-05-21 17:25:41,R_7sBiKa8sC03lidb,,,,,32.8595,-117.2124,anonymous,EN,I understand and consent,,,,,,,,,7.7,7.5,6.4,5.9,7.2,7.2,3.8,4.5,,,,,,,,,,,,,,,,,Female,18-24 years old
2024-05-21 18:23:23,2024-05-21 18:26:01,IP Address,68.81.136.32,100,157,True,2024-05-21 18:26:02,R_168VNSdh6DIs976,,,,,39.7979,-75.5317,anonymous,EN,I understand and consent,7.5,7,7.7,7.5,5.2,4.5,6.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,Male,18-24 years old
2024-05-21 19:09:20,2024-05-21 19:12:57,IP Address,146.75.146.83,100,217,True,2024-05-21 19:12:58,R_6pvvTveJtwb31Wp,,,,,32.8509,-117.2722,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,4,4,5,3,7,7,8,7,,,,,,,,,Male,18-24 years old
2024-05-21 20:05:09,2024-05-21 20:09:29,IP Address,77.6.72.15,100,260,True,2024-05-21 20:09:30,R_8m3Lww1SYmNOXlz,,,,,53.5674,10.055,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,,,,,,,,,Male,35-44 years old
2024-05-21 20:08:22,2024-05-21 20:10:39,IP Address,128.54.217.203,100,137,True,2024-05-21 20:10:40,R_3lZcpVNJ16ISyEV,,,,,32.8509,-117.2722,anonymous,EN,I understand and consent,7,7,6,6,6.5,6.5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Female,18-24 years old
2024-05-21 20:16:31,2024-05-21 20:19:03,IP Address,156.62.117.26,100,151,True,2024-05-21 20:19:04,R_49Vfy5DteTmx2sV,,,,,-36.8506,174.7679,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,10,10,10,7.5,10,7.2,Female,25-34 years old
2024-05-21 20:22:18,2024-05-21 20:26:20,IP Address,99.132.74.125,100,241,True,2024-05-21 20:26:20,R_1F4yypoXEsbOl05,,,,,32.7967,-117.1367,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2.5,3,3.5,3.5,4.5,5.5,Male,18-24 years old
2024-05-21 20:24:44,2024-05-21 20:34:43,IP Address,70.95.163.176,100,598,True,2024-05-21 20:34:43,R_6VIu1owKsjPnrjp,,,,,32.8595,-117.2124,anonymous,EN,I understand and consent,6,6,5.5,5,7.5,7.5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,Female,18-24 years old
2024-05-21 21:48:05,2024-05-21 21:51:05,IP Address,73.47.222.114,100,179,True,2024-05-21 21:51:05,R_51cKiwSXolCYtjR,,,,,42.364,-71.0265,anonymous,EN,I understand and consent,,,,,,,,,0,0,0,0,5,5,0,0,,,,,,,,,,,,,,,,,Female,25-34 years old
2024-05-21 23:02:54,2024-05-21 23:05:37,IP Address,74.141.95.29,100,162,True,2024-05-21 23:05:37,R_5ff08q4Kh22oyeB,,,,,41.9318,-80.5887,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,8.5,8.4,9.6,10,10,8,6.1,3.1,,,,,,,,,Female,25-34 years old
2024-05-21 23:49:03,2024-05-21 23:51:45,IP Address,111.58.53.19,100,162,True,2024-05-21 23:51:46,R_46xPLO3XXxyOpTr,,,,,22.8111,108.3168,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,2.5,2.5,5,5,3.5,3.5,3.5,3.5,,,,,,,,,Female,25-34 years old
2024-05-22 09:38:51,2024-05-22 09:41:29,IP Address,58.82.208.25,100,157,True,2024-05-22 09:41:30,R_4EhbrymQs69vN3H,,,,,22.2908,114.1501,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5.5,5.5,5,4,5,5,Nonbinary,18-24 years old
2024-05-22 15:41:16,2024-05-22 16:09:34,IP Address,128.54.193.47,100,1697,True,2024-05-22 16:09:35,R_1qCSLM6mqghA5Pn,,,,,32.8509,-117.2722,anonymous,EN,I understand and consent,,,,,,,,,10,9.5,7.9,6,8,7.4,7.9,7.8,,,,,,,,,,,,,,,,,Male,35-44 years old
2024-05-22 18:59:21,2024-05-22 19:02:00,IP Address,64.145.94.111,100,158,True,2024-05-22 19:02:01,R_7zmYTDrZ3aF5xiV,,,,,34.0544,-118.244,anonymous,EN,I understand and consent,8.5,8.5,7,6.5,7,7,10,10,,,,,,,,,,,,,,,,,,,,,,,,,Male,18-24 years old
2024-05-24 00:43:39,2024-05-24 00:46:59,IP Address,104.14.70.136,100,200,True,2024-05-24 00:47:00,R_7jbsa6uKwZo9OSd,,,,,32.8595,-117.2124,anonymous,EN,I understand and consent,,,,,,,,,3,3,3,3.4,6,5,3,3.8,,,,,,,,,,,,,,,,,Female,18-24 years old
2024-05-24 20:18:15,2024-05-24 20:21:46,IP Address,80.128.190.1,100,211,True,2024-05-24 20:21:47,R_82JqxhAz0cPphv9,,,,,48.7672,12.2328,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.8,9,9,7,7,5,4,Male,25-34 years old
2024-05-25 14:33:22,2024-05-25 14:36:53,IP Address,97.93.107.15,100,211,True,2024-05-25 14:36:54,R_5DYcXTIhERnr00q,,,,,34.0706,-117.9393,anonymous,EN,I understand and consent,,,,,,,,,,,,,,,,,6,6,7.2,7.1,3.6,5,8,7,,,,,,,,,Nonbinary,18-24 years old
